"ayto:foto";"ayto:numero";"ayto:parada";"ayto:sentido";"dc:identifier";"dc:modified";"gn:coordX";"gn:coordY";"id";"vivo:address1";"wgs84_pos:lat";"wgs84_pos:long"
"oracle.sql.BLOB@467ce271";"430";"Calle Alta 56";"Valdecilla";"133";"2014-04-14 12:20:01";"433969.7";"4812319";"http://datos.santander.es/api/datos/paradas_bus/133";"Calle Alta nº 56";"43.45898850421351";"-3.817519156563868"
"oracle.sql.BLOB@30f68cde";"431";"Calle Alta 80";"Valdecilla";"134";"2014-04-14 12:20:01";"433633";"4812264";"http://datos.santander.es/api/datos/paradas_bus/134";"Calle Alta nº 80";"43.45846351018884";"-3.821674004330904"
"oracle.sql.BLOB@a9a5bef";"432";"Calle Argentina 7";"Valdecilla";"135";"2014-04-14 12:20:01";"433479";"4812133";"http://datos.santander.es/api/datos/paradas_bus/135";"Calle Argentina nº 7";"43.45727037831748";"-3.823561401712303"
"oracle.sql.BLOB@1c09ad59";"433";"Plaza de Toros";"Valdecilla";"136";"2014-04-14 12:20:01";"433225";"4812076";"http://datos.santander.es/api/datos/paradas_bus/136";"Calle Montevideo";"43.456734547511495";"-3.826693714360457"
"oracle.sql.BLOB@3f53bc70";"434";"Calle Alta 28";"Valdecilla";"131";"2014-04-14 12:20:01";"434385";"4812459";"http://datos.santander.es/api/datos/paradas_bus/131";"Calle Alta nº 28";"43.46028554193849";"-3.8124029820509624"
"oracle.sql.BLOB@12787d8b";"436";"Pedro San Martin 8";"Corban";"156";"2014-04-14 12:20:01";"433121.2";"4812304";"http://datos.santander.es/api/datos/paradas_bus/156";"Pedro San Martin. 8";"43.45877805231856";"-3.828004602357853"
"oracle.sql.BLOB@247a3a26";"437";"Emilio Diaz Caneja 2";"Corban";"157";"2014-04-14 12:20:01";"432724.8";"4812536";"http://datos.santander.es/api/datos/paradas_bus/157";"Emilio Diaz Caneja. 2";"43.46083128750915";"-3.8329326530588075"
"oracle.sql.BLOB@547fa77f";"438";"Cuesta de la Atalaya  2";"General Davila";"287";"2014-04-14 12:20:01";"434758.7";"4812850";"http://datos.santander.es/api/datos/paradas_bus/287";"Cuesta de la Atalaya nº 2";"43.463838591535";"-3.807830844453873"
"oracle.sql.BLOB@8cdae30";"440";"Avenida Vicente Trueba 8";"Complejo Deportivo";"123";"2014-04-14 12:20:01";"430832.9";"4812008";"http://datos.santander.es/api/datos/paradas_bus/123";"Avenida Vicente Trueba.8";"43.455904919805924";"-3.856249677792737"
"oracle.sql.BLOB@7766d5d3";"441";"Emilio Diaz Caneja s/n";"Plaza las Estaciones";"113";"2014-04-14 12:20:01";"432686.4";"4812547";"http://datos.santander.es/api/datos/paradas_bus/113";"Emilio Diaz Caneja s/n";"43.460926869268576";"-3.833408642055734"
"oracle.sql.BLOB@604ce3";"442";"General Davila nº 208";"Via Cornelia";"318";"2014-04-14 12:20:01";"434376";"4813276";"http://datos.santander.es/api/datos/paradas_bus/318";"General Davila nº 208";"43.46764056668863";"-3.8126126700686003"
"oracle.sql.BLOB@3257cb46";"443";"El Mazo S/N";"Las Estaciones";"27847";"2014-04-14 12:20:01";"429891.3";"4813236";"http://datos.santander.es/api/datos/paradas_bus/27847";"Corban";"43.46687332903836";"-3.8680450063177214"
"oracle.sql.BLOB@21e27a7c";"448";"Valdecilla Sur";"Carrefour";"27854";"2014-04-14 12:20:01";"433142";"4811851";"http://datos.santander.es/api/datos/paradas_bus/27854";"Jeronimo Sainz de la Maza";"43.45470136191628";"-3.827691928994386"
"oracle.sql.BLOB@1bd77445";"449";"Valdecilla Sur";"Puertochico";"27855";"2014-04-14 12:20:01";"433159.7";"4811840";"http://datos.santander.es/api/datos/paradas_bus/27855";"Jeronimo Sainz de la Maza";"43.45460390621078";"-3.8274718267970034"
"oracle.sql.BLOB@5e126c4a";"451";"Hermanos Calderon";"San Martin";"27860";"2014-04-14 12:20:01";"430952.7";"4810525.9";"http://datos.santander.es/api/datos/paradas_bus/27860";"Hermanos Calderon";"43.44257209182277";"-3.854581304043007"
